full breakdown is:
FreePlay 64-6C-80-69-2C-0F =19,923 bm
Oso Skilled 14-10-9F-D0-87-05 =18,701 bm
Kieone14 04-D9-F5-1D-3E-43 =18,673 bm
Killa Rsps B4-6B-FC-4B-30-E8 =18,450 bm
Mezex 18-C0-4D-73-5B-A6 =17,581 bm
Bally 9C-30-5B-F8-FD-CD =17,264 bm
Sucidar C0-E4-34-48-41-95 =17,031 bm
Time 00-E0-4C-46-32-EE =16,265 bm
Tapistry 8C-8D-28-31-E3-31 =16,151 bm
Vexia RSPS 9C-30-5B-F8-FD-CD =15,920 bm
Bunda 74-D4-35-BF-CD-31 =15,750 bm
Rsp 9C-30-5B-F8-FD-CD =15,536 bm
Satanic 00-40-8F-13-2D-85 =15,000 bm
HC Skii V2 10-7B-44-95-22-0A =15,000 bm
Slutty SMorc 0A-00-27-00-00-1E =15,000 bm
Off 20-79-18-4B-A7-7B =15,000 bm
